name,price,category,description,imageUrl,available
Bánh mì trứng,20000,Bánh mì,Bánh mì pate trứng,https://picsum.photos/200,true
Bánh mì thịt,25000,Bánh mì,Bánh mì thịt đầy đủ,https://picsum.photos/201,true
Bánh mì xúc xích,23000,Bánh mì,Bánh mì xúc xích phô mai,https://picsum.photos/202,true
Xôi xéo,15000,Xôi,Xôi xéo hành phi,https://picsum.photos/203,true
Xôi gà,25000,Xôi,Xôi gà xé,https://picsum.photos/204,true
Cà phê sữa đá,18000,Đồ uống,Cà phê sữa đá truyền thống,https://picsum.photos/205,true
Trà đào cam sả,30000,Đồ uống,Trà đào cam sả mát lạnh,https://picsum.photos/206,true
Sữa ngô,15000,Đồ uống,Sữa ngô nhà làm,https://picsum.photos/207,true
Bún chả,35000,Món khác,Bún chả Hà Nội,https://picsum.photos/208,true
Bánh cuốn,30000,Món khác,Bánh cuốn nóng mềm,https://picsum.photos/209,true
